Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number,Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code,Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
2025-03-20 00:57:06,35604.57,Clark Kent,4222200027927082,Merchant A,5704,13003,EUR,Maestro,06/31,927,200,TXN209964,1,40,Online,192.168.1.1,Fire OS,guest,ATM withdrawal
2025-02-26 00:57:31,25578.79,Peter Parker,378734493671000,Merchant D,5542,50005,NZD,UnionPay,09/34,929,400,TXN908924,1,6,Online,10.0.0.1,Windows,user5678,International transaction
2025-01-20 05:22:05,38706.61,Scott Lang,3566002020360508,Best Buy,5814,60006,JPY,JCB,02/39,214,202,TXN131918,0,26,POS,1.2.4.8,Chrome OS,user1718,Suspicious activity
2025-04-22 04:47:09,18268.65,Wanda Maximoff,3566002020360507,Target,4111,10001,INR,Amex,01/38,724,404,TXN606366,1,44,Online,1.1.1.1,Windows Phone,user1516,Routine transaction
2025-09-16 23:53:57,27679.7,Bob Brown,6011111111111117,Merchant A,5704,10001,AUD,Discover,03/28,442,200,TXN247083,0,7,EFT,210.2.4.8,BlackBerry,user101,In-store purchase
2025-04-19 03:53:21,23968.45,Wanda Maximoff,3566002020360507,Target,7011,15005,AUD,Maestro,01/38,724,202,TXN292539,0,35,POS,8.8.8.8,Windows Phone,user1516,Bill payment
2025-11-19 04:48:50,29613.44,Clark Kent,4222200027927082,CVS,5704,15005,CNY,Diners Club,06/31,927,202,TXN103263,0,41,Mobile,208.67.220.220,iPhone,guest,Suspicious activity
2025-12-10 07:19:45,42228.45,Charlie Davis,371449635398431,Merchant B,7011,70007,GBP,Visa Electron,04/29,414,400,TXN384592,0,29,EFT,208.67.222.222,Windows,user202,Routine transaction
2025-08-10 10:54:27,7621.17,Alice Johnson,378282246310005,Merchant B,5967,20002,AUD,UnionPay,02/27,284,404,TXN632929,0,37,EFT,1.2.4.8,Linux,user789,ATM withdrawal
2025-03-19 07:15:52,126.62,Bob Brown,6011111111111117,Kroger,5813,12002,CHF,JCB,03/28,442,202,TXN106372,1,48,POS,208.67.220.220,MacOS,user101,In-store purchase
2025-09-04 17:32:46,13617.43,John Doe,4111111111111111,Kroger,5411,60006,INR,MasterCard,12/25,994,200,TXN846087,1,20,ATM,208.67.220.220,Windows Phone,user123,International transaction
2025-09-30 01:16:35,32884.4,Bruce Wayne,5500000000000004,Walgreens,5704,40004,INR,Amex,07/32,760,202,TXN704806,0,20,POS,192.168.1.1,BlackBerry,testuser,In-store purchase
2025-05-25 02:39:34,22529.29,Natasha Romanoff,6011000990139424,Amazon,5813,90009,JPY,Interac,10/35,921,200,TXN489762,0,27,ATM,208.67.220.220,iPad,user9101,In-store purchase
2025-02-02 23:13:47,25403.97,Clark Kent,4222200027927082,Merchant C,5704,15005,INR,Visa Electron,06/31,927,202,TXN113527,0,36,POS,10.0.0.1,MacOS,guest,Suspicious activity
2025-03-10 04:15:49,36710.96,Carol Danvers,3566002020360506,Merchant E,5999,40004,CNY,MasterCard,12/37,715,200,TXN928232,0,24,EFT,210.2.4.8,iPhone,user1314,Bill payment
2025-05-03 07:14:23,32462.92,Stephen Strange,3566002020360505,Kroger,7011,30003,GBP,Discover,11/36,280,202,TXN195134,0,17,Mobile,192.168.1.1,Windows Phone,user1112,Routine transaction
2025-11-10 16:53:23,9211.23,Carol Danvers,3566002020360506,Target,5967,10001,CHF,Amex,12/37,715,404,TXN759135,0,1,Online,8.8.8.8,Linux,user1314,Bill payment
2025-09-12 23:20:42,34757.65,Jane Smith,5555555555554444,Walmart,5541,10001,NZD,Interac,01/26,289,400,TXN731204,1,0,Mobile,192.168.1.1,Android,user456,Routine transaction
2025-10-15 19:01:05,31256.67,Bob Brown,6011111111111117,Costco,5541,100010,CNY,Diners Club,03/28,442,202,TXN390369,0,23,POS,1.1.1.1,Linux,user101,Bill payment
2025-09-11 16:17:09,30711.3,Jane Smith,5555555555554444,Home Depot,5704,70007,INR,Visa Electron,01/26,289,202,TXN134070,0,42,Mobile,1.2.4.8,Windows,user456,ATM withdrawal
2025-11-22 05:07:41,3392.57,Stephen Strange,3566002020360505,Amazon,5411,50005,AUD,Maestro,11/36,280,202,TXN512889,0,33,EFT,8.8.4.4,BlackBerry,user1112,Suspicious activity
2025-04-18 06:02:16,26699.4,Scott Lang,3566002020360508,Costco,5814,70007,JPY,Visa,02/39,214,200,TXN136275,0,23,Online,208.67.222.222,Android,user1718,Online shopping
2025-01-07 16:19:46,3301.79,Natasha Romanoff,6011000990139424,Target,7011,11001,AUD,Amex,10/35,921,202,TXN449516,1,9,EFT,192.168.1.1,Fire OS,user9101,Regular purchase
2025-12-21 23:56:59,12212.57,Charlie Davis,371449635398431,Merchant E,5542,14004,AUD,Interac,04/29,414,202,TXN891557,0,37,ATM,1.2.4.8,Fire OS,user202,Suspicious activity
2025-05-02 20:45:41,20935.8,Alice Johnson,378282246310005,Merchant C,5549,30003,NZD,Diners Club,02/27,284,400,TXN321227,1,17,Online,208.67.222.222,Fire OS,user789,Regular purchase
2025-12-10 04:47:59,16438.07,Clark Kent,4222200027927082,Target,5722,80008,INR,Interac,06/31,927,200,TXN580769,1,42,Mobile,192.168.1.1,Windows Phone,guest,Bill payment
2025-10-29 18:02:15,4161.97,Stephen Strange,3566002020360505,Amazon,5704,14004,CHF,MasterCard,11/36,280,404,TXN225287,0,44,Online,172.16.0.1,Android,user1112,Suspicious activity
2025-01-03 16:12:04,39278.57,Carol Danvers,3566002020360506,Merchant B,5977,60006,CNY,Interac,12/37,715,202,TXN420925,0,42,Online,1.2.4.8,MacOS,user1314,International transaction
2025-01-07 18:10:58,23357.1,Jane Smith,5555555555554444,Merchant B,5813,10001,NZD,UnionPay,01/26,289,404,TXN325981,1,32,EFT,1.1.1.1,Fire OS,user456,High-value transaction
2025-08-16 22:46:05,10546.18,Stephen Strange,3566002020360505,Kroger,5999,80008,CAD,Interac,11/36,280,202,TXN318094,0,24,EFT,208.67.222.222,Windows,user1112,Subscription payment
2025-09-21 08:00:08,24821.16,Charlie Davis,371449635398431,CVS,5542,50005,JPY,JCB,04/29,414,200,TXN819155,1,31,Online,192.168.1.1,Chrome OS,user202,ATM withdrawal
2025-03-29 02:53:59,19004.09,Jane Smith,5555555555554444,Costco,5967,50005,NZD,UnionPay,01/26,289,202,TXN323469,0,34,EFT,192.168.1.1,Android,user456,Regular purchase
2025-01-24 19:24:20,16076.05,Charlie Davis,371449635398431,Walgreens,5599,50005,GBP,Amex,04/29,414,404,TXN620437,1,16,ATM,1.1.1.1,Windows Phone,user202,International transaction
2025-08-27 22:14:18,9200.45,Alice Johnson,378282246310005,Merchant C,5977,30003,AUD,Discover,02/27,284,200,TXN890596,0,33,EFT,192.168.1.1,Windows,user789,Bill payment
2025-06-19 14:35:31,36562.88,Natasha Romanoff,6011000990139424,Home Depot,5967,15005,CAD,MasterCard,10/35,921,400,TXN896160,0,7,ATM,210.2.4.8,iPad,user9101,Routine transaction
2025-07-21 17:07:39,22868.77,Wanda Maximoff,3566002020360507,Kroger,5704,60006,AUD,Visa Electron,01/38,724,404,TXN187764,0,30,POS,1.1.1.1,Windows Phone,user1516,Online shopping
2025-10-13 15:59:34,20637.39,Stephen Strange,3566002020360505,Merchant D,5541,12002,NZD,Discover,11/36,280,202,TXN965564,0,29,Online,210.2.4.8,Fire OS,user1112,In-store purchase
2025-08-26 10:19:37,35543.38,Alice Johnson,378282246310005,Costco,5813,90009,EUR,MasterCard,02/27,284,200,TXN978424,1,7,EFT,8.8.4.4,Linux,user789,Online shopping
2025-09-14 00:20:28,4011.82,Diana Prince,4012888888881881,Merchant A,4111,100010,EUR,MasterCard,05/30,585,400,TXN424231,0,34,POS,8.8.4.4,MacOS,admin,ATM withdrawal
2025-11-29 11:02:06,23096.04,Bob Brown,6011111111111117,Merchant C,5814,13003,AUD,Visa,03/28,442,200,TXN494103,0,27,Online,208.67.222.222,Android,user101,Subscription payment
2025-11-21 10:16:46,13272.89,Charlie Davis,371449635398431,Walmart,5542,20002,INR,Discover,04/29,414,202,TXN495375,0,41,ATM,1.2.4.8,Android,user202,ATM withdrawal
2025-05-15 05:49:39,44401.18,Natasha Romanoff,6011000990139424,Amazon,5813,14004,INR,MasterCard,10/35,921,202,TXN962262,0,30,POS,1.1.1.1,BlackBerry,user9101,Routine transaction
2025-01-06 09:54:02,37819.57,Tony Stark,5555555555555555,CVS,5813,10001,EUR,MasterCard,08/33,988,400,TXN474220,0,35,ATM,10.0.0.1,Chrome OS,user1234,Regular purchase
2025-07-20 13:38:56,434.14,Diana Prince,4012888888881881,Walmart,5999,50005,CAD,UnionPay,05/30,585,200,TXN461153,1,39,Online,172.16.0.1,iPad,admin,Subscription payment
2025-04-12 12:23:06,5536.08,Natasha Romanoff,6011000990139424,Home Depot,5542,14004,JPY,Interac,10/35,921,400,TXN526218,1,10,Online,1.2.4.8,Linux,user9101,Suspicious activity
2025-03-18 22:25:30,32066.21,Peter Parker,378734493671000,Merchant C,4111,100010,NZD,UnionPay,09/34,929,404,TXN147696,0,21,Online,1.1.1.1,iPad,user5678,High-value transaction
2025-05-07 22:31:44,3434.95,Bob Brown,6011111111111117,Lowes,5704,80008,USD,MasterCard,03/28,442,400,TXN505630,1,12,POS,10.0.0.1,iPad,user101,Subscription payment
2025-05-27 20:17:00,4607.62,Clark Kent,4222200027927082,Merchant E,5704,90009,NZD,Visa Electron,06/31,927,202,TXN878989,0,28,ATM,1.1.1.1,Windows Phone,guest,Subscription payment
2025-06-04 10:24:54,29377.77,Jane Smith,5555555555554444,Home Depot,4111,80008,USD,Interac,01/26,289,202,TXN346995,0,6,POS,172.16.0.1,Android,user456,ATM withdrawal
2025-01-03 01:51:18,43889.79,Jane Smith,5555555555554444,Merchant A,5967,50005,INR,Discover,01/26,289,200,TXN375842,0,46,EFT,172.16.0.1,Windows,user456,ATM withdrawal
2025-11-11 13:29:14,27381.25,Clark Kent,4222200027927082,Merchant B,5722,50005,EUR,JCB,06/31,927,404,TXN655126,1,25,ATM,10.0.0.1,Chrome OS,guest,Subscription payment
2025-11-22 14:09:17,2708.29,Peter Parker,378734493671000,Walgreens,5541,30003,JPY,Diners Club,09/34,929,200,TXN394483,0,13,ATM,210.2.4.8,Linux,user5678,International transaction
2025-07-24 12:47:52,43815.13,Peter Parker,378734493671000,Kroger,5541,80008,GBP,Diners Club,09/34,929,400,TXN743413,0,29,Online,208.67.222.222,iPad,user5678,High-value transaction
2025-10-05 20:33:53,36355.89,Alice Johnson,378282246310005,CVS,5813,10001,CHF,UnionPay,02/27,284,200,TXN433469,1,44,Mobile,8.8.4.4,Windows,user789,Subscription payment
2025-09-15 07:01:54,17560.47,Stephen Strange,3566002020360505,Walgreens,5999,15005,USD,Visa Electron,11/36,280,400,TXN751901,1,34,ATM,8.8.8.8,Windows,user1112,Regular purchase
2025-06-22 03:43:29,42918.92,John Doe,4111111111111111,Best Buy,5812,90009,AUD,MasterCard,12/25,994,200,TXN525537,0,37,ATM,208.67.220.220,BlackBerry,user123,ATM withdrawal
2025-04-03 14:12:54,29348.92,Stephen Strange,3566002020360505,Amazon,5542,15005,CAD,MasterCard,11/36,280,400,TXN173651,0,0,ATM,10.0.0.1,Windows,user1112,Routine transaction
2025-01-09 23:25:45,14286.8,Peter Parker,378734493671000,Merchant D,7011,30003,CHF,Discover,09/34,929,400,TXN255342,0,23,Online,8.8.4.4,Linux,user5678,Bill payment
2025-06-02 17:33:32,38227.91,Wanda Maximoff,3566002020360507,Lowes,4111,80008,CHF,Diners Club,01/38,724,400,TXN319770,0,23,Online,1.2.4.8,iPad,user1516,High-value transaction
2025-12-18 04:54:26,43112.99,John Doe,4111111111111111,Merchant E,4111,70007,NZD,Visa Electron,12/25,994,202,TXN195538,1,36,ATM,1.2.4.8,Linux,user123,Routine transaction
2025-02-26 02:19:12,28650.15,Carol Danvers,3566002020360506,Target,5999,50005,CNY,Discover,12/37,715,202,TXN820596,0,5,Mobile,1.2.4.8,MacOS,user1314,Regular purchase
2025-07-29 18:45:11,35311.87,Stephen Strange,3566002020360505,Kroger,5812,70007,EUR,Maestro,11/36,280,404,TXN374733,0,39,POS,210.2.4.8,iPhone,user1112,High-value transaction
2025-10-26 00:58:32,21050.05,Tony Stark,5555555555555555,Merchant C,5549,90009,CAD,Visa,08/33,988,400,TXN440153,1,23,Online,1.2.4.8,iPhone,user1234,ATM withdrawal
2025-10-12 11:12:44,9932.58,Charlie Davis,371449635398431,Merchant E,5813,13003,CAD,Discover,04/29,414,200,TXN490684,0,44,ATM,1.1.1.1,Windows Phone,user202,Bill payment
2025-07-03 06:57:29,22465.2,Peter Parker,378734493671000,Costco,5599,14004,NZD,UnionPay,09/34,929,404,TXN891706,0,29,Online,8.8.4.4,MacOS,user5678,Suspicious activity
2025-08-01 00:33:35,45233.59,Charlie Davis,371449635398431,Merchant E,5812,40004,USD,MasterCard,04/29,414,202,TXN156521,0,2,ATM,192.168.1.1,Chrome OS,user202,Subscription payment
2025-11-03 11:45:11,35187.65,Peter Parker,378734493671000,Merchant C,5549,70007,GBP,Visa Electron,09/34,929,200,TXN878130,1,40,Mobile,208.67.222.222,iPad,user5678,International transaction
2025-01-26 20:28:12,49644.43,Alice Johnson,378282246310005,Walmart,5704,70007,CNY,JCB,02/27,284,404,TXN163666,0,35,Mobile,10.0.0.1,iPhone,user789,Regular purchase
2025-12-20 03:15:08,37572.11,Bob Brown,6011111111111117,Merchant D,5967,30003,AUD,UnionPay,03/28,442,400,TXN682595,0,45,EFT,208.67.220.220,BlackBerry,user101,Online shopping
2025-11-25 17:56:43,46042.56,Carol Danvers,3566002020360506,Amazon,5977,11001,EUR,JCB,12/37,715,202,TXN485157,1,23,Online,172.16.0.1,MacOS,user1314,In-store purchase
2025-07-01 16:21:35,48000.95,Alice Johnson,378282246310005,Merchant A,5722,70007,GBP,UnionPay,02/27,284,200,TXN354386,0,46,EFT,1.2.4.8,BlackBerry,user789,Bill payment
2025-05-10 21:24:43,46008.6,Scott Lang,3566002020360508,Amazon,5599,12002,NZD,Amex,02/39,214,400,TXN970215,1,14,Mobile,210.2.4.8,Fire OS,user1718,Bill payment
2025-06-09 09:02:51,8093.08,Wanda Maximoff,3566002020360507,Costco,5813,12002,GBP,Interac,01/38,724,202,TXN580105,0,6,Mobile,210.2.4.8,Fire OS,user1516,International transaction
2025-06-20 12:42:55,34120.81,Scott Lang,3566002020360508,Walgreens,5599,12002,NZD,Interac,02/39,214,404,TXN316705,0,35,EFT,208.67.222.222,Chrome OS,user1718,Routine transaction
2025-11-11 11:43:28,46762.96,Charlie Davis,371449635398431,Merchant C,5814,15005,USD,Discover,04/29,414,400,TXN993639,1,8,EFT,8.8.4.4,BlackBerry,user202,Bill payment
2025-02-20 08:10:37,34499.42,Peter Parker,378734493671000,Amazon,5704,10001,USD,Amex,09/34,929,202,TXN162643,0,13,Mobile,10.0.0.1,iPad,user5678,Suspicious activity
2025-07-22 06:11:21,18327.39,Charlie Davis,371449635398431,Merchant E,5541,12002,CHF,MasterCard,04/29,414,404,TXN971925,0,38,Mobile,1.2.4.8,BlackBerry,user202,Regular purchase
2025-12-27 23:32:50,30713.14,Clark Kent,4222200027927082,Merchant E,5967,10001,INR,JCB,06/31,927,400,TXN729458,1,36,POS,1.1.1.1,iPhone,guest,Routine transaction
2025-04-07 23:51:18,4764.63,Bruce Wayne,5500000000000004,Target,5814,90009,JPY,Maestro,07/32,760,404,TXN732524,0,37,Online,172.16.0.1,Fire OS,testuser,Bill payment
2025-08-31 06:06:19,13635.55,Alice Johnson,378282246310005,Best Buy,5722,14004,INR,Amex,02/27,284,200,TXN641461,0,0,ATM,208.67.220.220,Chrome OS,user789,In-store purchase
2025-12-30 20:47:57,49919.53,Wanda Maximoff,3566002020360507,Amazon,5542,70007,INR,Discover,01/38,724,200,TXN925676,0,43,EFT,8.8.4.4,iPad,user1516,High-value transaction
2025-12-31 21:32:10,45031.85,Carol Danvers,3566002020360506,Merchant B,5411,12002,GBP,Maestro,12/37,715,404,TXN341149,0,31,POS,8.8.4.4,Windows Phone,user1314,Subscription payment
2025-11-17 10:14:12,38435.25,Wanda Maximoff,3566002020360507,CVS,5999,11001,INR,Maestro,01/38,724,202,TXN993156,1,18,EFT,1.1.1.1,iPad,user1516,International transaction
2025-07-10 06:41:47,20692.06,Bruce Wayne,5500000000000004,Merchant D,5722,13003,INR,MasterCard,07/32,760,404,TXN693252,0,50,POS,1.2.4.8,MacOS,testuser,ATM withdrawal
2025-02-08 05:40:45,42863.07,Diana Prince,4012888888881881,Costco,5967,70007,INR,UnionPay,05/30,585,404,TXN535479,0,39,EFT,10.0.0.1,Windows Phone,admin,In-store purchase
2025-07-03 01:22:32,29086.4,Wanda Maximoff,3566002020360507,Home Depot,5813,40004,USD,Interac,01/38,724,202,TXN461694,0,22,ATM,172.16.0.1,Chrome OS,user1516,Bill payment
2025-11-07 10:04:29,20418.78,John Doe,4111111111111111,Walgreens,5542,50005,CAD,Maestro,12/25,994,400,TXN556388,1,33,POS,208.67.222.222,BlackBerry,user123,Online shopping
2025-05-25 09:53:05,7749.09,Carol Danvers,3566002020360506,Best Buy,7011,15005,AUD,Amex,12/37,715,404,TXN658038,1,4,EFT,1.2.4.8,Linux,user1314,Suspicious activity
2025-12-04 13:49:24,35021.91,Diana Prince,4012888888881881,Amazon,7011,30003,CNY,MasterCard,05/30,585,202,TXN670099,1,27,Online,208.67.222.222,Fire OS,admin,Online shopping
2025-03-10 20:01:18,23535.22,Scott Lang,3566002020360508,Best Buy,5814,13003,CNY,Interac,02/39,214,400,TXN719746,1,34,Mobile,10.0.0.1,BlackBerry,user1718,Regular purchase
2025-02-25 08:35:43,44897.82,Jane Smith,5555555555554444,Kroger,4111,60006,NZD,Interac,01/26,289,202,TXN725210,0,13,ATM,172.16.0.1,iPhone,user456,High-value transaction
2025-10-29 14:33:02,40161.03,Peter Parker,378734493671000,Merchant B,5599,80008,CNY,MasterCard,09/34,929,400,TXN728168,0,40,EFT,1.1.1.1,BlackBerry,user5678,In-store purchase
2025-06-06 14:00:42,35044.91,Tony Stark,5555555555555555,Merchant A,5549,11001,NZD,Diners Club,08/33,988,202,TXN941641,1,29,EFT,208.67.220.220,Fire OS,user1234,Online shopping
2025-03-26 04:13:04,5963.66,Natasha Romanoff,6011000990139424,Best Buy,5814,12002,GBP,Discover,10/35,921,400,TXN587928,0,6,Mobile,210.2.4.8,Linux,user9101,Suspicious activity
2025-09-17 03:06:58,3686.01,Clark Kent,4222200027927082,CVS,5722,10001,GBP,JCB,06/31,927,202,TXN917450,1,3,Mobile,192.168.1.1,Fire OS,guest,Routine transaction
2025-03-20 17:06:02,41232.1,Jane Smith,5555555555554444,Walmart,5541,12002,CNY,Interac,01/26,289,404,TXN686547,0,29,Mobile,8.8.4.4,MacOS,user456,Suspicious activity
2025-09-24 15:28:36,35082.64,Tony Stark,5555555555555555,Merchant A,5812,20002,EUR,Visa Electron,08/33,988,404,TXN280753,1,13,Mobile,208.67.220.220,Windows Phone,user1234,Subscription payment
2025-07-02 06:45:18,23244.69,Wanda Maximoff,3566002020360507,Merchant C,5542,12002,CAD,Discover,01/38,724,400,TXN772160,0,6,Mobile,172.16.0.1,Android,user1516,In-store purchase
2025-02-24 09:27:22,47974.15,Natasha Romanoff,6011000990139424,Merchant C,4111,80008,CHF,Amex,10/35,921,200,TXN494285,0,4,Online,10.0.0.1,Linux,user9101,ATM withdrawal
2025-07-25 12:40:24,22850.33,Peter Parker,378734493671000,Walgreens,5704,12002,JPY,JCB,09/34,929,404,TXN318656,1,47,ATM,208.67.222.222,Windows,user5678,In-store purchase
2025-05-06 21:44:16,40671.97,Bruce Wayne,5500000000000004,Lowes,4111,70007,CHF,Diners Club,07/32,760,404,TXN763820,0,45,EFT,210.2.4.8,Windows Phone,testuser,In-store purchase
2025-10-28 11:41:16,3411.78,Clark Kent,4222200027927082,Merchant D,5541,15005,NZD,Diners Club,06/31,927,202,TXN700955,0,32,POS,208.67.220.220,Linux,guest,ATM withdrawal
2025-01-28 08:57:48,1524.33,Wanda Maximoff,3566002020360507,Lowes,5813,90009,USD,Visa,01/38,724,202,TXN470412,0,48,Online,10.0.0.1,Android,user1516,Regular purchase
2025-11-18 13:26:41,17540.12,Carol Danvers,3566002020360506,CVS,5542,80008,NZD,Maestro,12/37,715,400,TXN768792,1,49,EFT,172.16.0.1,Windows,user1314,Bill payment
2025-08-24 23:21:16,7632.1,Scott Lang,3566002020360508,Merchant D,5814,11001,GBP,UnionPay,02/39,214,200,TXN838049,0,13,POS,10.0.0.1,iPhone,user1718,Online shopping
2025-09-12 03:59:14,10510.56,Scott Lang,3566002020360508,Walgreens,5813,10001,USD,Interac,02/39,214,200,TXN165351,1,26,Mobile,172.16.0.1,BlackBerry,user1718,Regular purchase
2025-10-04 12:54:05,19156.36,Stephen Strange,3566002020360505,Merchant E,5999,80008,JPY,Amex,11/36,280,404,TXN209539,0,35,EFT,172.16.0.1,MacOS,user1112,High-value transaction
2025-12-01 14:58:12,40187.63,Wanda Maximoff,3566002020360507,Home Depot,4111,30003,AUD,UnionPay,01/38,724,404,TXN766599,1,46,POS,192.168.1.1,BlackBerry,user1516,Subscription payment
2025-06-14 17:42:01,16215.05,Charlie Davis,371449635398431,Home Depot,5814,100010,CAD,UnionPay,04/29,414,200,TXN521512,1,32,Mobile,8.8.4.4,iPad,user202,Online shopping
2025-12-27 12:57:56,21580.94,Charlie Davis,371449635398431,Walgreens,5814,20002,CNY,Visa Electron,04/29,414,200,TXN976390,0,46,EFT,8.8.4.4,Windows Phone,user202,Routine transaction
2025-01-15 21:56:29,38328.72,Scott Lang,3566002020360508,CVS,5999,10001,CHF,UnionPay,02/39,214,404,TXN413450,0,8,Mobile,8.8.8.8,Android,user1718,International transaction
2025-01-24 17:59:33,41788.89,John Doe,4111111111111111,Best Buy,4111,90009,CAD,Diners Club,12/25,994,404,TXN129070,1,13,Online,1.1.1.1,Windows,user123,Bill payment
2025-08-30 08:15:31,49660.57,Tony Stark,5555555555555555,Merchant D,5704,60006,INR,Interac,08/33,988,404,TXN310534,1,17,Online,208.67.220.220,Windows,user1234,Subscription payment
2025-06-18 17:23:57,25376.68,Wanda Maximoff,3566002020360507,Best Buy,5704,15005,JPY,Discover,01/38,724,200,TXN128841,1,28,Mobile,8.8.8.8,iPad,user1516,ATM withdrawal
2025-10-25 14:00:20,10007.78,Wanda Maximoff,3566002020360507,Merchant B,5541,50005,CHF,Visa Electron,01/38,724,202,TXN420073,0,49,POS,1.1.1.1,Windows Phone,user1516,Online shopping
2025-02-21 20:54:48,37213.17,Wanda Maximoff,3566002020360507,Walgreens,5599,80008,GBP,UnionPay,01/38,724,202,TXN601952,0,41,Mobile,1.1.1.1,Fire OS,user1516,High-value transaction
2025-07-17 00:27:31,28183.39,Scott Lang,3566002020360508,Walmart,5814,12002,USD,Diners Club,02/39,214,202,TXN278922,0,14,Online,208.67.220.220,Android,user1718,In-store purchase
2025-12-13 17:28:08,19597.27,Bruce Wayne,5500000000000004,Amazon,5814,14004,AUD,JCB,07/32,760,400,TXN373890,1,38,POS,208.67.220.220,iPhone,testuser,High-value transaction
2025-08-03 04:23:47,29236.03,Scott Lang,3566002020360508,Merchant D,5722,30003,CNY,UnionPay,02/39,214,202,TXN585021,0,26,POS,208.67.220.220,Windows,user1718,Suspicious activity
2025-04-06 14:02:42,34983.45,John Doe,4111111111111111,Walmart,5722,10001,CNY,UnionPay,12/25,994,200,TXN300470,0,48,EFT,208.67.220.220,Windows Phone,user123,Routine transaction
2025-01-23 18:29:54,4301.26,Tony Stark,5555555555555555,Walgreens,5967,60006,USD,Interac,08/33,988,404,TXN485727,1,47,POS,210.2.4.8,Android,user1234,Routine transaction
2025-02-03 12:21:34,45660.87,Clark Kent,4222200027927082,Best Buy,5542,60006,USD,Visa Electron,06/31,927,200,TXN840009,1,41,Online,1.1.1.1,Linux,guest,Bill payment
2025-03-03 00:40:46,28563.95,Stephen Strange,3566002020360505,Lowes,5599,13003,AUD,Amex,11/36,280,400,TXN907499,1,4,Mobile,10.0.0.1,iPhone,user1112,High-value transaction
